epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,972.531,0.83875,0.63944,0.88371,0.87537,0.91388,0.93536,0.61592,1.11572,0.69845,0.83466,0.000148687,0.000148687,0.000148687
183,977.95,0.81371,0.61578,0.87353,0.78806,0.96412,0.93441,0.60675,1.11882,0.70913,0.83204,0.000141614,0.000141614,0.000141614
184,983.379,0.80241,0.61839,0.88076,0.7959,0.96107,0.92317,0.61826,1.13284,0.70039,0.82663,0.00013454,0.00013454,0.00013454
185,988.834,0.82695,0.65049,0.87863,0.84091,0.93309,0.93445,0.61146,1.12187,0.70072,0.8349,0.000127467,0.000127467,0.000127467
186,994.375,0.80636,0.62793,0.86834,0.86947,0.94258,0.95605,0.61962,1.12666,0.6901,0.84244,0.000120393,0.000120393,0.000120393
187,999.827,0.81302,0.63605,0.89934,0.87945,0.9434,0.95303,0.63753,1.10392,0.68622,0.83569,0.00011332,0.00011332,0.00011332
188,1005.26,0.7908,0.62844,0.8741,0.86952,0.9318,0.95263,0.64324,1.16744,0.68673,0.83215,0.000106246,0.000106246,0.000106246
189,1010.69,0.77723,0.62047,0.8718,0.85967,0.94216,0.95132,0.63892,1.12732,0.69151,0.83033,9.91726e-05,9.91726e-05,9.91726e-05
190,1016.2,0.77992,0.60555,0.87515,0.84887,0.95849,0.94011,0.62569,1.10669,0.6838,0.83668,9.20991e-05,9.20991e-05,9.20991e-05
191,1046.48,0.81061,0.6166,0.85821,0.85051,0.9625,0.9404,0.63504,1.08528,0.66072,0.83801,8.50255e-05,8.50255e-05,8.50255e-05
192,1051.91,0.79633,0.59561,0.85494,0.8554,0.95211,0.93759,0.62992,1.09429,0.66161,0.84006,7.7952e-05,7.7952e-05,7.7952e-05
193,1057.29,0.80416,0.59088,0.8556,0.8523,0.95298,0.94562,0.62189,1.08585,0.65382,0.83442,7.08784e-05,7.08784e-05,7.08784e-05
194,1062.7,0.78779,0.60055,0.84982,0.8685,0.94605,0.94505,0.62489,1.10138,0.65043,0.83142,6.38049e-05,6.38049e-05,6.38049e-05
195,1068.13,0.76653,0.57911,0.86889,0.88503,0.93243,0.94536,0.60888,1.12426,0.6472,0.8348,5.67313e-05,5.67313e-05,5.67313e-05
196,1073.64,0.7594,0.58535,0.84191,0.92456,0.92383,0.94709,0.60861,1.11765,0.64631,0.83361,4.96578e-05,4.96578e-05,4.96578e-05
197,1079.1,0.73956,0.57534,0.85124,0.88242,0.92834,0.9474,0.62148,1.10217,0.63019,0.83476,4.25842e-05,4.25842e-05,4.25842e-05
198,1084.57,0.73489,0.55463,0.84655,0.86424,0.95288,0.95209,0.63716,1.09622,0.62868,0.83387,3.55107e-05,3.55107e-05,3.55107e-05
199,1090.04,0.76062,0.55887,0.84974,0.85905,0.9625,0.94858,0.63568,1.09299,0.62667,0.83206,2.84371e-05,2.84371e-05,2.84371e-05
200,1095.51,0.7267,0.57492,0.85611,0.8581,0.9625,0.9476,0.64397,1.09508,0.62822,0.83499,2.13636e-05,2.13636e-05,2.13636e-05
