epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,222.167,1.38548,1.12953,1.02227,0.77847,0.68693,0.82752,0.47879,1.56359,1.34618,0.98704,0.00113898,0.00113898,0.00113898
43,227.265,1.36057,1.09472,1.01711,0.82712,0.87083,0.87026,0.49403,1.57109,1.29272,0.97809,0.00113191,0.00113191,0.00113191
44,232.398,1.33185,1.11805,1.01864,0.92602,0.82065,0.91121,0.51499,1.4799,1.27426,0.9167,0.00112484,0.00112484,0.00112484
45,237.499,1.33537,1.16008,1.01322,0.91839,0.83224,0.92183,0.53408,1.38566,1.10099,0.90716,0.00111776,0.00111776,0.00111776
46,242.571,1.31562,1.11676,0.99285,0.88883,0.74167,0.87715,0.48236,1.4881,1.10984,0.95758,0.00111069,0.00111069,0.00111069
47,247.667,1.26293,1.10136,0.9956,0.81173,0.77882,0.87681,0.48199,1.56206,1.1378,0.94502,0.00110362,0.00110362,0.00110362
48,252.775,1.28577,1.06546,0.98579,0.75465,0.84219,0.89104,0.53551,1.45771,1.13091,0.92532,0.00109654,0.00109654,0.00109654
49,257.871,1.29741,1.10389,1.00558,0.86102,0.8135,0.84922,0.5212,1.41495,1.17782,0.94951,0.00108947,0.00108947,0.00108947
50,262.96,1.28447,1.07816,0.98982,0.72993,0.76417,0.80872,0.48722,1.4441,1.17943,0.93569,0.0010824,0.0010824,0.0010824
51,268.042,1.26985,1.07746,0.98681,0.78544,0.76611,0.86677,0.51168,1.48003,1.21441,0.87367,0.00107532,0.00107532,0.00107532
52,273.156,1.27816,1.05128,0.97176,0.84115,0.81622,0.85012,0.4999,1.43417,1.16391,0.9322,0.00106825,0.00106825,0.00106825
53,278.184,1.24196,1.04715,0.9764,0.84499,0.87065,0.89795,0.55693,1.36573,1.02765,0.8763,0.00106118,0.00106118,0.00106118
54,283.206,1.29759,1.06309,0.98432,0.92904,0.79435,0.91093,0.51208,1.45556,1.06673,0.91297,0.0010541,0.0010541,0.0010541
55,288.238,1.27132,1.0471,0.98641,0.88623,0.81667,0.88643,0.46393,1.4749,1.20274,0.96441,0.00104703,0.00104703,0.00104703
56,293.316,1.27274,1.04957,0.98362,0.85385,0.7625,0.83647,0.48174,1.49643,1.13747,0.96934,0.00103995,0.00103995,0.00103995
57,298.368,1.27005,1.0583,0.98202,0.84684,0.73833,0.82374,0.49481,1.48554,1.10098,0.92319,0.00103288,0.00103288,0.00103288
58,303.468,1.25647,1.05137,0.98287,0.85821,0.88995,0.91469,0.5719,1.43783,1.01074,0.94622,0.00102581,0.00102581,0.00102581
59,308.589,1.25368,1.02325,0.96957,0.87206,0.90018,0.90534,0.53819,1.50887,1.04785,0.92999,0.00101873,0.00101873,0.00101873
60,313.649,1.30309,1.06398,0.97007,0.76784,0.85833,0.86614,0.52154,1.50191,1.0409,0.89446,0.00101166,0.00101166,0.00101166
61,318.718,1.273,1.02853,0.97279,0.73494,0.87917,0.87933,0.52469,1.39672,1.04401,0.89417,0.00100459,0.00100459,0.00100459
62,323.736,1.23312,1.04882,0.97154,0.83311,0.84167,0.84697,0.49674,1.43454,1.05369,0.90277,0.000997513,0.000997513,0.000997513
63,328.798,1.23592,1.02877,0.96572,0.83163,0.81085,0.90562,0.52842,1.47562,1.01749,0.93167,0.00099044,0.00099044,0.00099044
64,333.927,1.27287,1.03263,0.97552,0.89106,0.80983,0.8924,0.52978,1.44774,0.96292,0.8838,0.000983366,0.000983366,0.000983366
65,338.985,1.26363,1.04583,0.96907,0.92189,0.81088,0.91813,0.50706,1.34974,0.96388,0.88279,0.000976293,0.000976293,0.000976293
66,344.074,1.24991,1.0127,0.96192,0.78879,0.89089,0.88368,0.49199,1.47402,0.97682,0.90516,0.000969219,0.000969219,0.000969219
67,349.101,1.21313,0.96229,0.96491,0.89596,0.9,0.8741,0.50618,1.45837,0.98853,0.88675,0.000962146,0.000962146,0.000962146
68,354.188,1.26552,0.98799,0.97789,0.82041,0.94583,0.91613,0.54753,1.37349,0.93372,0.89379,0.000955072,0.000955072,0.000955072
69,359.295,1.27808,0.98029,0.97209,0.80615,0.92083,0.92294,0.54581,1.36062,0.97432,0.90613,0.000947999,0.000947999,0.000947999
70,364.411,1.25718,0.96592,0.96939,0.81845,0.86667,0.87756,0.5395,1.43546,0.96802,0.90571,0.000940925,0.000940925,0.000940925
71,369.439,1.19649,0.99273,0.9577,0.81493,0.81862,0.84683,0.48906,1.4835,1.05538,0.86604,0.000933851,0.000933851,0.000933851
72,374.481,1.25678,1.00631,0.95946,0.80974,0.82514,0.8572,0.55747,1.37694,0.91,0.85486,0.000926778,0.000926778,0.000926778
73,379.528,1.21354,0.98088,0.9515,0.73524,0.87195,0.84171,0.48218,1.60308,0.97503,0.87809,0.000919704,0.000919704,0.000919704
74,384.582,1.23787,1.00435,0.97275,0.75624,0.9625,0.90047,0.48601,1.47664,0.98126,0.87566,0.000912631,0.000912631,0.000912631
75,389.626,1.22457,0.95081,0.96393,0.86415,0.8625,0.91652,0.51502,1.45615,0.98311,0.87386,0.000905557,0.000905557,0.000905557
76,394.721,1.23137,0.96021,0.96176,0.83705,0.90688,0.94971,0.53563,1.36111,0.95717,0.89211,0.000898484,0.000898484,0.000898484
77,399.781,1.23052,0.99274,0.95891,0.88138,0.825,0.93218,0.52913,1.40847,0.9515,0.88531,0.00089141,0.00089141,0.00089141
78,404.811,1.21107,0.95415,0.94877,0.85177,0.88333,0.90544,0.53284,1.445,0.94025,0.91741,0.000884337,0.000884337,0.000884337
79,409.881,1.20866,0.99065,0.96829,0.89235,0.87822,0.93488,0.54069,1.32859,0.966,0.88574,0.000877263,0.000877263,0.000877263
